Depth,# of minimax_std evals,Avg branching factor of minimax_std,Avg exec time of minimax_std,# of minimax_alph_bet evals,# of minimax_alph_bet cutoffs,Avg branching factor of minimax_alph_bet,Avg exec time of minimax_alph_bet
1,102,5.368421053,0.004010175,177,1,9,0.004377079
1,102,5.368421053,0.003847009,177,1,9,0.005408227
1,102,5.368421053,0.005724003,177,1,9,0.009151816
1,107,5.526315789,0.002472281,178,0,8.9,0.003632367
1,107,5.526315789,0.00249536,178,0,8.9,0.003883445
1,107,5.526315789,0.00265137,178,0,8.9,0.004569614
1,107,5.526315789,0.003336108,178,0,8.9,0.004658926
1,114,6,0.002581094,180,1,9.944444444,0.003914093
1,120,5.409090909,0.0029275,142,0,6.130434783,0.004430532
1,128,5.47826087,0.00239274,183,0,7.32,0.003365641
1,128,5.47826087,0.003664465,183,0,7.32,0.005836878
1,128,5.47826087,0.002346621,183,0,7.32,0.00338213
1,128,5.47826087,0.00275547,183,0,7.32,0.003839025
1,142,6.130434783,0.004333049,120,0,5.409090909,0.004699282
1,142,6.130434783,0.002943466,120,0,5.409090909,0.002716116
1,142,6.130434783,0.003373623,120,0,5.409090909,0.003041869
1,142,6.130434783,0.003299038,120,0,5.409090909,0.002391266
1,142,6.130434783,0.003401538,120,0,5.409090909,0.003023127
1,165,7.173913043,0.002828525,201,1,8.652173913,0.003453086
1,165,7.173913043,0.003975972,201,1,8.652173913,0.005364031
1,165,7.173913043,0.003155366,201,1,8.652173913,0.003614614
1,168,7.904761905,0.003233308,162,0,7.363636364,0.003496203
1,168,7.636363636,0.004422741,188,1,8.904761905,0.006471666
1,174,9.157894737,0.00401581,174,1,8.842105263,0.003516996
1,175,8.842105263,0.009703612,174,0,9.157894737,0.009837866
1,180,9.210526316,0.004490483,185,0,9.25,0.004446208
1,183,7.32,0.007102985,128,0,5.47826087,0.003705673
1,183,7.32,0.007591486,128,0,5.47826087,0.00968605
1,183,7.32,0.00293519,128,0,5.47826087,0.002062845
1,191,8.904761905,0.003258293,168,0,7.636363636,0.003026106
1,202,8.652173913,0.005511512,165,0,7.173913043,0.004492656
1,209,10.73684211,0.003847015,139,0,7.315789474,0.003065574
1,225,10.71428571,0.005415633,157,1,7.55,0.003664811
,Avg,Avg,Med,Avg,Avg,Avg,Med
1,149.2727273,6.891705735,0.003373623,163.5151515,0.303030303,7.593518259,0.003839025
,,,,,,,
2,405,4.702926587,0.012779224,473,156,6.317902497,0.016368473
2,435,4.375167084,0.010484945,456,177,5.975869963,0.013878169
2,451,4.738772176,0.012128776,468,110,5.920535483,0.016607264
2,451,4.738772176,0.011642976,468,110,5.920535483,0.012459382
2,481,5.152989418,0.021950766,316,76,6.493455988,0.014294147
2,481,5.152989418,0.024173766,316,76,6.493455988,0.012110785
2,567,4.553554175,0.014147242,504,195,6.388912707,0.016527524
2,567,4.553554175,0.014498472,504,195,6.388912707,0.015135616
2,588,5.146706349,0.015858364,497,152,6.964198959,0.014483762
2,598,4.856222944,0.014219564,529,93,6.035928932,0.014094288
2,598,4.856222944,0.013464492,529,93,6.035928932,0.011872985
2,604,4.642460317,0.017681742,476,143,5.953836502,0.012736177
2,604,4.642460317,0.011096649,476,143,5.953836502,0.009394321
2,604,4.642460317,0.017009354,476,143,5.953836502,0.013591948
2,604,4.642460317,0.015110054,476,143,5.953836502,0.012105722
2,751,5.035929018,0.024250922,490,189,7.107495078,0.018816844
2,798,6.240966387,0.024608387,609,160,8.617537365,0.020941827
2,822,5.554292929,0.021228438,652,148,7.067717071,0.016107787
2,839,5.836092215,0.02184276,742,152,7.671337375,0.020868612
2,839,5.836092215,0.022052537,742,152,7.671337375,0.019273343
2,839,5.836092215,0.022407086,742,152,7.671337375,0.022490678
2,884,5.58154112,0.029715739,686,177,8.087780044,0.02763703
2,884,5.58154112,0.041365962,686,177,8.087780044,0.0232071
2,884,5.58154112,0.025791394,686,177,8.087780044,0.031081262
2,921,7.243051046,0.050421119,483,141,8.870117138,0.030908267
2,921,7.243051046,0.02991662,483,141,8.870117138,0.013236648
2,986,6.303495843,0.027458191,554,142,7.819092902,0.013642881
2,986,6.303495843,0.026954564,554,142,7.819092902,0.014655227
2,1070,6.375957905,0.033896522,552,105,7.777839621,0.021267436
2,1070,6.375957905,0.036811525,552,105,7.777839621,0.014060963
2,1070,6.375957905,0.028993097,552,105,7.777839621,0.014032125
2,1127,7.102884104,0.030670802,562,105,7.469717643,0.014471325
2,1127,7.102884104,0.02937603,562,105,7.469717643,0.012931553
,Avg,Avg,Med,Avg,Avg,Avg,Med
2,753.2121212,5.542683114,0.022052537,541,138.7878788,7.10522605,0.014483762
,,,,,,,
3,1034,3.773550682,0.036088181,2244,234,8.05075862,0.06573503
3,1034,3.773550682,0.064305568,2244,234,8.05075862,0.095584476
3,1124,3.562195011,0.043692687,5784,314,11.87173821,0.189202182
3,1124,3.562195011,0.044941902,5784,314,11.87173821,0.169594905
3,1124,3.562195011,0.043783524,5784,314,11.87173821,0.176099314
3,1124,3.562195011,0.04294157,5784,314,11.87173821,0.220925051
3,1124,3.562195011,0.047821802,5784,314,11.87173821,0.186249817
3,1124,3.562195011,0.056332869,5784,314,11.87173821,0.184641614
3,3469,4.65224843,0.108965843,3652,389,8.138207627,0.080100358
3,3469,4.65224843,0.10043932,3652,389,8.138207627,0.090923011
3,3649,4.860934095,0.088091552,3886,372,8.549901443,0.100342533
3,3649,4.860934095,0.110377411,3886,372,8.549901443,0.087688073
3,4500,5.2137772,0.106648018,4924,425,9.215105625,0.103910635
3,4629,5.308568554,0.138196645,3748,451,8.44250886,0.101015687
3,4629,5.308568554,0.125395682,3748,451,8.44250886,0.089749654
3,5512,5.470880812,0.14952188,4161,443,8.691821546,0.079097102
3,5512,5.470880812,0.149874293,4161,443,8.691821546,0.103155762
3,5512,5.470880812,0.138122984,4161,443,8.691821546,0.08826534
3,5871,5.772074392,0.164686561,5704,471,10.14924353,0.152890149
3,5871,5.772074392,0.146084726,5704,471,10.14924353,0.154558239
3,6740,6.257816166,0.185522502,3743,464,8.63526154,0.090588259
3,6740,6.257816166,0.169589368,3743,464,8.63526154,0.098114024
3,7079,6.169939556,0.194072138,3921,423,8.267008134,0.138132832
3,7079,6.169939556,0.207007072,3921,423,8.267008134,0.109870813
3,7079,6.169939556,0.236217358,3921,423,8.267008134,0.133514589
3,7079,6.169939556,0.19543716,3921,423,8.267008134,0.093149283
3,7079,6.169939556,0.201756586,3921,423,8.267008134,0.097042431
3,7164,6.142800159,0.158539254,6301,616,10.40943237,0.152335613
3,10503,6.665094062,0.364490574,4446,566,8.252939896,0.166821335
3,10503,6.665094062,0.266950098,4446,566,8.252939896,0.133563643
3,11327,7.370902807,0.303311246,5487,594,10.95453325,0.15205347
3,12032,7.03038632,0.322796946,5227,592,9.265699419,0.174411102
3,12032,7.03038632,0.352219945,5227,592,9.265699419,0.116927017
,Avg,Avg,Med,Avg,Avg,Avg,Med
3,5379.393939,5.333464723,0.146084726,4509.212121,425.4848485,9.339062052,0.109870813
,,,,,,,
4,5045,3.475755456,0.202257156,4020,2313,6.886069488,0.171889043
4,5045,3.475755456,0.205548739,4020,2313,6.886069488,0.146694517
4,5045,3.475755456,0.167607379,4020,2313,6.886069488,0.15265857
4,5045,3.475755456,0.174595976,4020,2313,6.886069488,0.159751272
4,6959,3.954737394,0.239010698,5626,2763,7.582564561,0.223452392
4,9246,4.122466515,0.394830912,6948,3381,7.777580047,0.292831019
4,9246,4.122466515,0.381340504,6948,3381,7.777580047,0.292243645
4,9246,4.122466515,0.412870184,6948,3381,7.777580047,0.35223186
4,9246,4.122466515,0.399606451,6948,3381,7.777580047,0.336992025
4,9246,4.122466515,0.384093866,6948,3381,7.777580047,0.319687173
4,11292,4.322401431,0.332537568,12440,4468,7.117827646,0.399653435
4,11292,4.322401431,0.385467005,12440,4468,7.117827646,0.417963539
4,11292,4.322401431,0.34110353,12440,4468,7.117827646,0.394875935
4,11292,4.322401431,0.393154931,12440,4468,7.117827646,0.384186291
4,15685,4.852530747,0.364274545,10879,3943,7.242686448,0.333072066
4,16336,5.02596718,0.531545225,8429,3082,8.057504242,0.269107604
4,16336,5.02596718,0.537050711,8429,3082,8.057504242,0.291245127
4,19630,5.577587947,0.81783247,10199,3232,8.574965871,0.444153754
4,19630,5.577587947,1.006030457,10199,3232,8.574965871,0.45077788
4,19630,5.577587947,0.859522377,10199,3232,8.574965871,0.455827077
4,20592,4.983064193,0.612272826,11096,3804,8.926270572,0.377923424
4,23401,5.08992466,0.862064679,7939,2904,7.914834859,0.305818031
4,23401,5.08992466,0.810634361,7939,2904,7.914834859,0.297358362
4,28872,5.304108559,0.660548081,9673,3971,7.98096827,0.289159238
4,28872,5.304108559,0.638202121,9673,3971,7.98096827,0.273312926
4,38814,5.98163324,1.437060277,8829,2791,9.611008771,0.32840804
4,38814,5.98163324,1.30506187,8829,2791,9.611008771,0.324555485
4,50319,5.621775571,1.920510583,12533,5106,9.858901189,0.477044231
4,50319,5.621775571,1.711596462,12533,5106,9.858901189,0.462056423
4,64794,6.611069123,1.801214252,11576,3299,8.99939039,0.391070767
4,64794,6.611069123,1.830277636,11576,3299,8.99939039,0.328246799
4,103991,6.484035088,2.416970336,15095,4425,9.326605625,0.397153248
4,103991,6.484035088,2.524684087,15095,4425,9.326605625,0.452954481
,Avg,Avg,Med,Avg,Avg,Avg,Med
4,26265.39394,4.926214641,0.537050711,9300.787879,3496.69697,8.117525293,0.32840804
,,,,,,,
5,7510,2.844197747,0.270955487,54131,4622,9.388305978,1.386636056
5,7510,2.844197747,0.27655525,54131,4622,9.388305978,1.552788847
5,17269,3.413168856,0.770686716,42665,4412,8.758252568,1.672690928
5,17269,3.413168856,0.7014575,42665,4412,8.758252568,1.50213021
5,17269,3.413168856,0.746407658,42665,4412,8.758252568,1.561104313
5,24130,3.945805487,0.833148678,43769,4502,9.964408419,1.397138582
5,24130,3.945805487,0.877163609,43769,4502,9.964408419,1.47758366
5,24130,3.945805487,1.031652914,43769,4502,9.964408419,103.1419679
5,31611,4.157121113,1.177018241,33332,4269,9.002074911,0.910210824
5,31611,4.157121113,1.723396264,33332,4269,9.002074911,1.234136784
5,33334,4.159645746,1.056562225,81928,7846,11.03159093,2.392104242
5,33334,4.159645746,1.042365869,81928,7846,11.03159093,2.428539713
5,44822,4.159385648,1.594424024,54802,7159,9.163978125,1.74489672
5,44822,4.159385648,1.610176191,54802,7159,9.163978125,1.788729205
5,44822,4.159385648,1.55236046,54802,7159,9.163978125,1.775271893
5,44822,4.159385648,1.591979802,54802,7159,9.163978125,1.770267921
5,46626,4.102186769,1.552292585,66497,7395,10.77632716,2.037118661
5,58472,4.063216962,1.840020021,138484,11585,12.10367349,3.127680757
5,62954,3.937528837,2.769782352,72699,8262,10.67007603,2.840667931
5,68948,4.08156446,2.055087521,65096,7399,8.381268732,1.748094169
5,82737,5.033546107,1.937404416,43578,6163,8.209940641,0.979845182
5,82737,5.033546107,2.388171109,43578,6163,8.209940641,1.181245534
5,83366,4.324646948,2.969729811,97186,8874,11.83059094,3.205175713
5,83366,4.324646948,3.305387884,97186,8874,11.83059094,3.475034729
5,83366,4.324646948,3.007515147,97186,8874,11.83059094,3.185239792
5,120223,4.792540284,3.012590657,72130,7829,9.508038295,1.691164593
5,153876,4.774766847,4.267945945,64814,8087,10.11267112,1.894191372
5,372236,5.341266752,7.54214414,77010,13461,8.767341696,1.671176596
5,372236,5.341266752,7.441933701,77010,13461,8.767341696,1.670939083
5,431612,5.496722115,12.15909028,48289,9636,9.338275014,1.284060229
5,431612,5.496722115,14.56032965,48289,9636,9.338275014,1.573575569
5,757627,6.679706322,55.01110338,206144,28740,11.00216256,5.50375247
5,757627,6.679706322,21.93925878,206144,28740,11.00216256,6.328509308
,Avg,Avg,Med,Avg,Avg,Avg,Med
5,136303.5152,4.389837043,1.723396264,70867.0303,8546.393939,9.798397168,1.74489672
,,,,,,,
6,18288,2.913050476,0.625495354,51187,34733,6.625564237,22.73148891
6,119582,3.534623771,2.787996759,125354,72435,8.205478117,3.362091233
6,138780,3.858601234,4.38334437,335518,156679,8.988282289,11.82016627
6,144613,3.834145387,7.330987608,477490,150985,9.47136568,238.4132233
6,145582,3.880405091,5.98352145,114323,62704,8.594632511,5.02521935
6,145582,3.880405091,6.340485168,114323,62704,8.594632511,103.551614
6,145582,3.880405091,6.032412148,114323,62704,8.594632511,5.014892169
6,157572,3.611040464,5.038415245,162835,84189,8.808383063,5.277441571
6,157572,3.611040464,5.932201852,162835,84189,8.808383063,5.701948603
6,294823,4.190725651,8.883533337,149890,54470,7.211046861,4.741344344
6,294823,4.190725651,7.913811911,149890,54470,7.211046861,4.256682277
6,323931,4.230205423,7.967824394,203987,99739,8.401085923,5.800606088
6,341171,4.145929822,11.42477345,103148,58074,7.773026692,3.548005557
6,341171,4.145929822,13.45272849,103148,58074,7.773026692,4.125353503
6,341171,4.145929822,10.84382882,103148,58074,7.773026692,3.463209128
6,341171,4.145929822,10.99418831,103148,58074,7.773026692,3.571614754
6,553039,4.770622075,16.38932189,132394,60450,10.12485059,4.256075155
6,558716,5.014581841,17.08476654,137743,51575,8.684721212,4.586619425
6,558716,5.014581841,17.21881564,137743,51575,8.684721212,4.448059642
6,558716,5.014581841,128.7296861,137743,51575,8.684721212,8.028042209
6,645303,4.524848366,16.52622104,630968,203757,10.52586593,16.81584233
6,645303,4.524848366,18.68095423,630968,203757,10.52586593,124.2041753
6,645303,4.524848366,25.78500435,630968,203757,10.52586593,24.94371026
6,777186,4.584171239,28.56596641,122280,56213,8.796764856,4.734334843
6,777186,4.584171239,28.39138397,122280,56213,8.796764856,4.387080136
6,931816,4.736439867,29.65124832,324401,108875,9.766346657,11.27865126
6,1583789,5.840233144,44.10440477,339374,116379,10.40700483,9.556841364
6,1658536,5.505327523,41.89607948,305493,122144,9.113831318,8.067553541
6,2237196,5.552945879,70.99924745,337885,152382,10.60435063,10.95388298
6,2237196,5.552945879,189.7300551,337885,152382,10.60435063,11.92858251
6,2237196,5.552945879,98.96146896,337885,152382,10.60435063,14.9311076
6,2274273,5.331879037,77.15407083,315641,147627,10.16190807,8.930386108
6,2274273,5.331879037,70.83245114,315641,147627,10.16190807,9.624693311
,Avg,Avg,Med,Avg,Avg,Avg,Med
6,745610.8182,4.489725591,16.38932189,238540.5758,98514.15152,9.011540392,5.800606088
,,,,,,,
,,,,,,,
,,,,,,,
Depth,# of minimax_std evals,Avg branching factor of minimax_std,Avg exec time of minimax_std,# of minimax_alph_bet evals,# of minimax_alph_bet cutoffs,Avg branching factor of minimax_alph_bet,Avg exec time of minimax_alph_bet
,Avg,Avg,Med,Avg,Avg,Avg,Med
1,149.2727273,6.891705735,0.003373623,163.5151515,0.303030303,7.593518259,0.003839025
2,753.2121212,5.542683114,0.022052537,541,138.7878788,7.10522605,0.014483762
3,5379.393939,5.333464723,0.146084726,4509.212121,425.4848485,9.339062052,0.109870813
4,26265.39394,4.926214641,0.537050711,9300.787879,3496.69697,8.117525293,0.32840804
5,136303.5152,4.389837043,1.723396264,70867.0303,8546.393939,9.798397168,1.74489672
6,745610.8182,4.489725591,16.38932189,238540.5758,98514.15152,9.011540392,5.800606088